"","department_id","number_of_orders","number_of_first_orders","percentage"
"1",1,329,182,0.55
"2",1,165,82,0.5
"3",1,246,120,0.49
"4",1,137,55,0.4
"5",1,81,44,0.54
"6",1,129,93,0.72
"7",1,151,35,0.23
"8",1,43,18,0.42
"9",1,437,192,0.44
"10",1,216,112,0.52
"11",1,1108,505,0.46
"12",1,3864,1468,0.38
"13",1,30,16,0.53
"14",1,59,49,0.83
"15",1,4919,1516,0.31
"16",1,41,17,0.41
"17",1,75,39,0.52
"18",1,17,12,0.71
"19",1,13,11,0.85
"20",1,184,99,0.54
"21",1,69,32,0.46
"22",1,46,19,0.41
"23",1,14,9,0.64
"24",1,2033,994,0.49
"25",1,1417,698,0.49
"26",1,162,73,0.45
"27",1,8,7,0.88
"28",1,31,20,0.65
"29",1,2454,1532,0.62
"30",1,8212,3638,0.44
"31",1,8,7,0.88
"32",1,201,96,0.48
"33",1,317,150,0.47
"34",1,1104,426,0.39
"35",1,715,347,0.49
"36",1,3,3,1
"37",1,28,9,0.32
"38",1,314,202,0.64
"39",1,209,89,0.43
"40",1,122,66,0.54
"41",1,33,19,0.58
"42",1,151,82,0.54
"43",1,34,17,0.5
"44",1,58,35,0.6
"45",1,17,5,0.29
"46",1,14,10,0.71
"47",1,4831,2608,0.54
"48",1,837,491,0.59
"49",1,30,22,0.73
"50",1,4,3,0.75
"51",1,511,206,0.4
"52",1,112,67,0.6
"53",1,7,7,1
"54",1,334,154,0.46
"55",1,9,7,0.78
"56",1,362,249,0.69
"57",1,64,57,0.89
"58",1,65,28,0.43
"59",1,84,46,0.55
"60",1,55,30,0.55
"61",1,24,16,0.67
"62",1,112,79,0.71
"63",1,27,14,0.52
"64",1,831,435,0.52
"65",1,109,65,0.6
"66",1,386,197,0.51
"67",1,3,3,1
"68",1,10,7,0.7
"69",1,9,6,0.67
"70",1,146,65,0.45
"71",1,699,269,0.38
"72",1,464,188,0.41
"73",1,20,18,0.9
"74",1,3,3,1
"75",1,68,50,0.74
"76",1,327,246,0.75
"77",1,281,169,0.6
"78",1,473,195,0.41
"79",1,391,209,0.53
"80",1,9,9,1
"81",1,263,142,0.54
"82",1,366,239,0.65
"83",1,17,14,0.82
"84",1,220,147,0.67
"85",1,22,7,0.32
"86",1,16,13,0.81
"87",1,98,44,0.45
"88",1,18,5,0.28
"89",1,26,17,0.65
"90",1,55,20,0.36
"91",1,6,4,0.67
"92",1,117,56,0.48
"93",1,1295,628,0.48
"94",1,49,39,0.8
"95",1,615,370,0.6
"96",1,70,41,0.59
"97",1,307,169,0.55
"98",1,17699,7760,0.44
"99",1,19,15,0.79
"100",1,881,531,0.6
"101",1,11,10,0.91
"102",1,320,167,0.52
"103",1,7093,2845,0.4
"104",1,493,307,0.62
"105",1,25,19,0.76
"106",1,14,6,0.43
"107",1,499,297,0.6
"108",1,49,24,0.49
"109",1,18,11,0.61
"110",1,4,4,1
"111",1,110,40,0.36
"112",1,11,7,0.64
"113",1,72,35,0.49
"114",1,19,16,0.84
"115",1,148,74,0.5
"116",1,797,263,0.33
"117",1,72,45,0.62
"118",1,4244,1239,0.29
"119",1,13,6,0.46
"120",1,384,262,0.68
"121",1,544,1,0
"122",1,388,174,0.45
"123",1,237,79,0.33
"124",1,213,87,0.41
"125",1,45,26,0.58
"126",1,104,58,0.56
"127",1,4771,2355,0.49
"128",1,264,157,0.59
"129",1,623,313,0.5
"130",1,34,22,0.65
"131",1,891,315,0.35
"132",1,39,25,0.64
"133",1,81,36,0.44
"134",1,166,97,0.58
"135",1,156,73,0.47
"136",1,348,245,0.7
"137",1,1392,554,0.4
"138",1,216,104,0.48
"139",1,8,8,1
"140",1,2433,1105,0.45
"141",1,69,32,0.46
"142",1,272,105,0.39
"143",1,18,9,0.5
"144",1,52,36,0.69
"145",1,256,175,0.68
"146",1,481,253,0.53
"147",1,14,10,0.71
"148",1,97,61,0.63
"149",1,261,154,0.59
"150",1,2423,1453,0.6
"151",1,1388,682,0.49
"152",1,194,110,0.57
"153",1,27,15,0.56
"154",1,35,20,0.57
"155",1,113,63,0.56
"156",1,265,103,0.39
"157",1,1455,590,0.41
"158",1,21,15,0.71
"159",1,35,16,0.46
"160",1,313,173,0.55
"161",1,461,264,0.57
"162",1,65,41,0.63
"163",1,424,277,0.65
"164",1,26,18,0.69
"165",1,31,19,0.61
"166",1,60,30,0.5
"167",1,561,288,0.51
"168",1,588,354,0.6
"169",1,112,71,0.63
"170",1,2832,1299,0.46
"171",1,388,211,0.54
"172",1,191,68,0.36
"173",1,943,450,0.48
"174",1,1310,761,0.58
"175",1,69,35,0.51
"176",1,156,91,0.58
"177",1,1416,745,0.53
"178",1,222,125,0.56
"179",1,1170,721,0.62
"180",1,1123,633,0.56
"181",1,1434,410,0.29
"182",1,197,110,0.56
"183",1,372,219,0.59
"184",1,19,14,0.74
"185",1,10584,4764,0.45
"186",1,1379,497,0.36
"187",1,1689,503,0.3
"188",1,22,15,0.68
"189",1,113,61,0.54
"190",1,1373,540,0.39
"191",1,27,15,0.56
"192",1,247,120,0.49
"193",1,759,368,0.48
"194",1,8202,2718,0.33
"195",1,18,13,0.72
"196",1,188,79,0.42
"197",1,5502,2732,0.5
"198",1,40,20,0.5
"199",1,1,310,310
"200",1,126,32,0.25
"201",1,678,200,0.29
"202",1,9,6,0.67
"203",1,854,377,0.44
"204",1,241,134,0.56
"205",1,1409,647,0.46
"206",1,10462,3825,0.37
"207",1,13,7,0.54
"208",1,31,25,0.81
"209",1,87,51,0.59
"210",1,711,282,0.4
"211",1,998,386,0.39
"212",1,249,126,0.51
"213",1,82,34,0.41
"214",1,38,16,0.42
"215",1,2574,1554,0.6
"216",1,1027,592,0.58
"217",1,18,13,0.72
"218",1,14,13,0.93
"219",1,10,4,0.4
"220",1,96,39,0.41
"221",1,74,35,0.47
"222",1,150,69,0.46
"223",1,383,245,0.64
"224",1,836,478,0.57
"225",1,1433,749,0.52
"226",1,41,32,0.78
"227",1,32,21,0.66
"228",1,1319,667,0.51
"229",1,28,18,0.64
"230",1,320,183,0.57
"231",1,145,76,0.52
"232",1,1432,583,0.41
"233",1,128,66,0.52
"234",1,13,6,0.46
"235",1,571,359,0.63
"236",1,82,59,0.72
"237",1,10,7,0.7
"238",1,52,35,0.67
"239",1,28,25,0.89
"240",1,17,9,0.53
"241",1,295,179,0.61
"242",1,293,164,0.56
"243",1,102,67,0.66
"244",1,301,129,0.43
"245",1,115,72,0.63
"246",1,167,57,0.34
"247",1,3870,1702,0.44
"248",1,31,21,0.68
"249",1,51,34,0.67
"250",1,26,15,0.58
"251",1,68,39,0.57
"252",1,344,230,0.67
"253",1,7,5,0.71
"254",1,562,329,0.59
"255",1,17,9,0.53
"256",1,49,42,0.86
"257",1,22,19,0.86
"258",1,223,142,0.64
"259",1,9,9,1
"260",1,5,4,0.8
"261",1,704,322,0.46
"262",1,874,499,0.57
"263",1,76,30,0.39
"264",1,26,15,0.58
"265",1,357,203,0.57
"266",1,588,302,0.51
"267",1,91,1,0.01
"268",1,139,75,0.54
"269",1,64,32,0.5
"270",1,197,81,0.41
"271",1,32,28,0.88
"272",1,14,7,0.5
"273",1,665,290,0.44
"274",1,243,100,0.41
"275",1,50,22,0.44
"276",1,6,4,0.67
"277",1,77,58,0.75
"278",1,474,194,0.41
"279",1,25,15,0.6
"280",1,1833,965,0.53
"281",1,41,15,0.37
"282",1,4,4,1
"283",1,340,229,0.67
"284",1,81,66,0.81
"285",1,460,200,0.43
"286",1,41,25,0.61
"287",1,8,7,0.88
"288",1,2,2,1
"289",1,111,68,0.61
"290",1,1171,716,0.61
"291",1,56,24,0.43
"292",1,9,9,1
"293",1,31,16,0.52
"294",1,139,108,0.78
"295",1,40,24,0.6
"296",1,342,183,0.54
"297",1,91,58,0.64
"298",1,27,11,0.41
"299",1,1610,663,0.41
"300",1,332,141,0.42
"301",1,57,31,0.54
"302",1,870,409,0.47
"303",1,5,4,0.8
"304",1,131,66,0.5
"305",1,21,16,0.76
"306",1,1679,657,0.39
"307",1,288,146,0.51
"308",1,69,34,0.49
"309",1,51,40,0.78
"310",1,16,10,0.62
"311",1,445,163,0.37
"312",1,48,27,0.56
"313",1,31,24,0.77
"314",1,259,143,0.55
"315",1,58,21,0.36
"316",1,2989,1246,0.42
"317",1,4,4,1
"318",1,1092,595,0.54
"319",1,381,157,0.41
"320",1,123,92,0.75
"321",1,359,182,0.51
"322",1,706,338,0.48
"323",1,614,305,0.5
"324",1,15,11,0.73
"325",1,441,204,0.46
"326",1,13,10,0.77
"327",1,6,5,0.83
"328",1,99,65,0.66
"329",1,96,44,0.46
"330",1,695,274,0.39
"331",1,297,165,0.56
"332",1,234,163,0.7
"333",1,65,40,0.62
"334",1,7,6,0.86
"335",1,44,18,0.41
"336",1,659,318,0.48
"337",1,2356,1103,0.47
"338",1,14,9,0.64
"339",1,132,82,0.62
"340",1,6,3,0.5
"341",1,866,366,0.42
"342",1,13,11,0.85
"343",1,265,120,0.45
"344",1,36,22,0.61
"345",1,122,69,0.57
"346",1,238,173,0.73
"347",1,2,2,1
"348",1,21,19,0.9
"349",1,157,110,0.7
"350",1,10,8,0.8
"351",1,5,4,0.8
"352",1,16,13,0.81
"353",1,248,122,0.49
"354",1,14,12,0.86
"355",1,25,19,0.76
"356",1,55,41,0.75
"357",1,192,101,0.53
"358",1,11,5,0.45
"359",1,863,515,0.6
"360",1,4,3,0.75
"361",1,130,67,0.52
"362",1,31,25,0.81
"363",1,2772,1634,0.59
"364",1,355,210,0.59
"365",1,469,242,0.52
"366",1,36,14,0.39
"367",1,12,5,0.42
"368",1,30,26,0.87
"369",1,14,11,0.79
"370",1,51,33,0.65
"371",1,589,380,0.65
"372",1,190,79,0.42
"373",1,3717,1552,0.42
"374",1,1585,596,0.38
"375",1,88,37,0.42
"376",1,43,24,0.56
"377",1,110,56,0.51
"378",1,631,362,0.57
"379",1,268,128,0.48
"380",1,115,63,0.55
"381",1,163,83,0.51
"382",1,559,259,0.46
"383",1,95,44,0.46
"384",1,14,8,0.57
"385",1,803,280,0.35
"386",1,10,8,0.8
"387",1,5,4,0.8
"388",1,2005,949,0.47
"389",1,31,16,0.52
"390",1,36,28,0.78
"391",1,2625,931,0.35
"392",1,26,19,0.73
"393",1,100,55,0.55
"394",1,40,12,0.3
"395",1,35,9,0.26
"396",1,1185,561,0.47
"397",1,344,163,0.47
"398",1,151,91,0.6
"399",1,331,267,0.81
"400",1,514,260,0.51
"401",1,1722,590,0.34
"402",1,220,75,0.34
"403",1,121,74,0.61
"404",1,367,211,0.57
"405",1,147,74,0.5
"406",1,11,9,0.82
"407",1,46,37,0.8
"408",1,327,178,0.54
"409",1,253,129,0.51
"410",1,460,240,0.52
"411",1,1292,555,0.43
"412",1,672,306,0.46
"413",1,33,7,0.21
"414",1,56,31,0.55
"415",1,147,82,0.56
"416",1,71,44,0.62
"417",1,71,57,0.8
"418",1,145,104,0.72
"419",1,137,93,0.68
"420",1,49,37,0.76
"421",1,4474,2267,0.51
"422",1,22,11,0.5
"423",1,7,5,0.71
"424",1,59,35,0.59
"425",1,1816,1026,0.56
"426",1,91,61,0.67
"427",1,594,209,0.35
"428",1,225,173,0.77
"429",1,20,12,0.6
"430",1,29,22,0.76
"431",1,79,42,0.53
"432",1,23,12,0.52
"433",1,54,25,0.46
"434",1,178,71,0.4
"435",1,114,54,0.47
"436",1,34,12,0.35
"437",1,23,20,0.87
"438",1,64,43,0.67
"439",1,155,87,0.56
"440",1,67,41,0.61
"441",1,196,110,0.56
"442",1,302,180,0.6
"443",1,125,66,0.53
"444",1,361,218,0.6
"445",1,28,14,0.5
"446",1,261,155,0.59
"447",1,105,63,0.6
"448",1,28,12,0.43
"449",1,122,69,0.57
"450",1,392,192,0.49
"451",1,163,90,0.55
"452",1,28,22,0.79
"453",1,54,29,0.54
"454",1,148,101,0.68
"455",1,238,140,0.59
"456",1,279,171,0.61
"457",1,4,4,1
"458",1,1350,569,0.42
"459",1,80,46,0.57
"460",1,31,23,0.74
"461",1,267,149,0.56
"462",1,78,43,0.55
"463",1,102,65,0.64
"464",1,5,5,1
"465",1,140,69,0.49
"466",1,162,98,0.6
"467",1,796,460,0.58
"468",1,67,42,0.63
"469",1,6700,2642,0.39
"470",1,468,278,0.59
"471",1,83,51,0.61
"472",1,42,34,0.81
"473",1,1039,560,0.54
"474",1,142,94,0.66
"475",1,68,39,0.57
"476",1,46,38,0.83
"477",1,15,12,0.8
"478",1,6,4,0.67
"479",1,141,65,0.46
"480",1,43,38,0.88
"481",1,4,4,1
"482",1,675,295,0.44
"483",1,926,509,0.55
"484",1,113,40,0.35
"485",1,27,13,0.48
"486",1,89,61,0.69
"487",1,2940,1626,0.55
"488",1,1181,514,0.44
"489",1,239,96,0.4
"490",1,752,451,0.6
"491",1,55,35,0.64
"492",1,63,50,0.79
"493",1,3285,1563,0.48
"494",1,144,76,0.53
"495",1,321,183,0.57
"496",1,5,3,0.6
"497",1,439,242,0.55
"498",1,34,29,0.85
"499",1,15,10,0.67
"500",1,49,39,0.8
"501",1,98,29,0.3
"502",1,17,9,0.53
"503",1,3,2,0.67
"504",1,60,42,0.7
"505",1,164,77,0.47
"506",1,31,20,0.65
"507",1,440,172,0.39
"508",1,2498,800,0.32
"509",1,491,221,0.45
"510",1,31,17,0.55
"511",1,477,274,0.57
"512",1,139,102,0.73
"513",1,340,165,0.49
"514",1,5,5,1
"515",1,7,5,0.71
"516",1,5,5,1
"517",1,6066,2294,0.38
"518",1,162,86,0.53
"519",1,88,45,0.51
"520",1,317,146,0.46
"521",1,642,326,0.51
"522",1,31,24,0.77
"523",1,446,169,0.38
"524",1,69,43,0.62
"525",1,3268,1007,0.31
"526",1,30,23,0.77
"527",1,357,200,0.56
"528",1,90,66,0.73
"529",1,18,9,0.5
"530",1,23,18,0.78
"531",1,30,27,0.9
"532",1,25,20,0.8
"533",1,115,84,0.73
"534",1,4,4,1
"535",1,35,11,0.31
"536",1,103,60,0.58
"537",1,6,4,0.67
"538",1,17,14,0.82
"539",1,226,121,0.54
"540",1,22,21,0.95
"541",1,15,10,0.67
"542",1,779,309,0.4
"543",1,400,227,0.57
"544",1,362,155,0.43
"545",1,41,29,0.71
"546",1,21,11,0.52
"547",1,580,293,0.51
"548",1,40,34,0.85
"549",1,519,299,0.58
"550",1,62,25,0.4
"551",1,19,16,0.84
"552",1,2708,1475,0.54
"553",1,118,41,0.35
"554",1,2577,1190,0.46
"555",1,1,1,1
"556",1,320,149,0.47
"557",1,192,87,0.45
"558",1,3279,1794,0.55
"559",1,705,269,0.38
"560",1,215,103,0.48
"561",1,1249,760,0.61
"562",1,399,204,0.51
"563",1,176,99,0.56
"564",1,154,94,0.61
"565",1,89,53,0.6
"566",1,112,63,0.56
"567",1,86,34,0.4
"568",1,8,6,0.75
"569",1,30,18,0.6
"570",1,12,6,0.5
